Name: “Table 1 of 1 on page 120 of 142”,Name: “Table 1 of 1 on page 120 of 142”,Name: “Table 1 of 1 on page 120 of 142”,Name: “Table 1 of 1 on page 120 of 142”,Name: “Table 1 of 1 on page 120 of 142”
Table: 120,Table: 120,Table: 120,Table: 120,Table: 120
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
BOWERBANKIA GRACILIS,CREEPING BRYOZOAN,,0155559,7805010201
BUGULA NERITINA,COMMON BUGULA,,0156056,7815250105
CALLOPORA CRATICULA,,,0155915,7815080102
CONOPEUM TENUISSIMUM,LACY CRUST BRYOZOAN,,0155839,7815040204
CRISIA EBURNEA,JOINTED-TUBE BRYOZOAN,SA,0155608,7809010101
ECHIURA,ECHIURAN WORMS,,0154972,73
ECTOPROCTA,MOSS ANIMALS,,0155470,78
GOLFINGIA GLAUCA,,,0154655,7200020136
LOPHOPODELLA CARTERI,,,0156716,7818030201
MEMBRANIPORA,,,0155823,78150401
MEMBRANIPORA TENUIS,COFFIN BOX BRYOZOAN,,0155827,7815040103
NITZSCHIA VITREA SALINARUM,,,BAY0179,7403100180SA
PECTINATELLA,FRESHWATER BRYOZOAN,,0156730,78180501
PHASCOLION STROMBI,,,0154734,7200020401
PHORONIDAE,,,0155457,770001
PHORONIS,PHORONID WORMS,,0155462,77000102
PHORONIS ARCHITECTA,,,0155466,7700010203
PHORONIS PSAMMOPHILA,,,0155467,7700010204
PRIAPULIDA,,,0155153,74
PRIAPULUS CAUDATUS,,,0155156,7400010101
SERTULARIA EBURNEA,JOINTED-TUBE BRYOZOAN,S,0155609,7809010101
SIPUNCULA,SIPUNCULAN WORMS,SA,0154520,72
SIPUNCULIDAE,,,0154521,720001
SIPUNCULOIDEA,SIPUNCULAN WORMS,S,0181215,72
SIPUNCULUS CORALLICOLUS,,,0154526,7200010104
TARDIGRADA,WATER BEARS,,0155166,75
THALASSEMA,,,0155118,73010207
THALASSEMA HARTMANI,,SA,0155119,7301020701
URNATELLA GRACILIS,,,0156754,7903010101
VICTORELLA PAVIDA,CUSHION MOSS BRYOZOAN,,0155524,7804010101
,ECHINODERMATA - ECHINODERMS,ECHINODERMATA - ECHINODERMS,,
(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Echinodermata),(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Echinodermata),(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Echinodermata),(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Echinodermata),(Kingdom Animalia:Subkingdom Eumetazoa:Section Deuterostomia:Phylum Echinodermata)
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
AMPHIODIA ATRA,,,0157649,8129030102
AMPHIOPLUS MACILENTUS,,,0157710,8129030902
AMPHIPHOLIS ATRA,BURROWING BRITTLE STAR,S,0157756,8129031201
AMPHIPHOLIS SQUAMATA,,SA,0157676,8129030202
ARBACIA PUNCTULATA,PURPLE SPINE SEA URCHIN,,0157906,8147010101
ASTERIAS FORBESI,FORBES SEA STAR,,0157217,8117030202
ASTERIAS SQUAMATA,,S,0157718,8129030908
ASTERIAS VULGARIS,BOREAL SEA STAR,,0157219,8117030204
ASTERIIDAE,SEA STARS,,0157212,811703
ASTEROIDEA,STARFISHES,,0156862,8104
AXIOGNATHUS SQUAMATUS,,S,0157678,8129030202
BIPINNARIA,ECINODERM LARVA,,BAY0041,8101
CAUDINA ARENATA,,,0158527,8179020102
CUCUMARIA PULCHERRIMA,PALE SEA CUCUMBER,,0158210,8172060114
ECHINARACHNIUS PARMA,SANDDOLLAR,,0158016,8155020101
ECHINODERMATA,ECHINODERMS,,0156857,81
ECHINODISCUS QUINQUIESPERFORATA,,S,0158021,8155040101
ECHINOIDEA,SEA URCHINS,,0157821,8136
HAVELOCKIA SCABRA,,,0158181,8172040201
HOLOTHURIA BRIAREUS,COMMON SEA CUCUMBER,S,0158245,8172060501
HOLOTHUROIDEA,SEA CUCUMBERS,,0158140,8170
,110,,,
