Name: “Table 1 of 1 on page 71 of 142”,Name: “Table 1 of 1 on page 71 of 142”,Name: “Table 1 of 1 on page 71 of 142”,Name: “Table 1 of 1 on page 71 of 142”,Name: “Table 1 of 1 on page 71 of 142”
Table: 71,Table: 71,Table: 71,Table: 71,Table: 71
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
MARPHYSA,,,0066300,50013002
MARPHYSA BELLI,,,0066302,5001300202
MARPHYSA SANGUINEA,,,0066301,5001300201
MEDIOMASTUS,,,0067438,50016004
MEDIOMASTUS AMBISETA,,,0067439,5001600401
MEDIOMASTUS CALIFORNIENSIS,,,0067440,5001600402
MELINNA,,,0067762,50016705
MELINNA MACULATA,,,0067766,5001670504
MESOSPIO,,,0067017,50014331
MICRONEREIS,,,0065961,50012407
MICROPHTHALMUS,,,0065476,50012102
MICROPHTHALMUS ABERRANS,,,0065478,5001210202
MICROPHTHALMUS FRAGILIS,,,0204411,5001210207
MICROPHTHALMUS HARTMANAE,,,EMAP002,50012102HAR
MICROPHTHALMUS SCZELKOWII,,,0065477,5001210201
MICROPHTHALMUS SIMILIS,,,0065480,5001210204
MICROSPIO,,SA,0066970,50014323
MICROSPIO PIGMENTATA,,,0066972,5001432301
MINUSPIO,,,0067026,50014336
MINUSPIO CIRRIFERA,,SA,0067027,5001433601
MINUSPIO CIRROBRANCHIATA,,SA,0067032,5001433602
MONTICELLINA,,S,EMAP010,50015003
MONTICELLINA BAPTISTEAE,,,EMAP004,50015003BAPT
MONTICELLINA DORSOBRANCIALIS,,S,0204530,5001500306
MYSTIDES BOREALIS,,,0065307,5001130501
MYXICOLA INFUNDIBULUM,,,0068125,5001700502
NAMANEREIS,,,0065992,50012417
NEANTHES ARENACEODENTATA,,,0065895,5001240305
NEANTHES SUCCINEA,COMMON CLAMWORM,SA,0065918,5001240309
NEMATONEREIS,,,0066328,50013005
NEPHTYIDAE,,,0066010,500125
NEPHTYS,RED-LINED WORMS,,0066011,50012501
NEPHTYS BUCERA,,,0066027,5001250114
NEPHTYS CRYPTOMMA,,,EMAP007,50012501CRYP
NEPHTYS INCISA,,,0066028,5001250115
NEPHTYS PICTA,,,0066030,5001250117
NEREIDAE,,,0065870,500124
NEREIPHYLLA FRAGILIS,,SA,0065336,5001131001
NEREIS,,,0065902,50012404
NEREIS ACUMINATA,,,0065926,5001240417
NEREIS CULVERI,,S,0065966,5001240801
NEREIS GRAYI,,,0065916,5001240409
NEREIS LIMBATA,COMMON CLAMWORM,S,0065919,5001240309
NEREIS RIISEI,,,0065927,5001240418
NEREIS SUCCINEA,COMMON CLAMWORM,S,0065917,5001240309
NEREIS ZONATA,,,0065912,5001240406
NICOLEA,,,0067936,50016806
NICOLEA QUADRILOBATA,,S,0067952,5001680711
NICOLEA VENUSTULA,,,0067938,5001680602
NICOMACHE,,,0067541,50016305
NINOE NIGRIPES,,,0066405,5001310204
NOTHRIA CONCHYLEGA,,,0066190,5001290301
NOTOCIRRUS SPINIFERUS,,,0066450,5001330301
NOTOMASTUS,,,0067423,50016003
NOTOMASTUS HEMIPODUS,,,0067431,5001600307
NOTOMASTUS LATERICEUS,,,0067429,5001600306
NOTOMASTUS LOBATUS,,,0067432,5001600308
ODONTOSYLLIS FULGURANS,,,0065789,5001231304
ODONTOSYLLIS LONGISETA,,,0065791,5001231306
,61,,,
