Name: “Table 1 of 1 on page 39 of 142”,Name: “Table 1 of 1 on page 39 of 142”,Name: “Table 1 of 1 on page 39 of 142”,Name: “Table 1 of 1 on page 39 of 142”,Name: “Table 1 of 1 on page 39 of 142”
Table: 39,Table: 39,Table: 39,Table: 39,Table: 39
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
SCENEDESMUS BRASILIENSIS,,,0006165,0803090219
SCENEDESMUS DENTICULATUS,,,0006145,0803090210
SCENEDESMUS DENTICULATUS RECURVATUS,,SA,0006148,080309021003
SCENEDESMUS DIMORPHUS,,,0006143,0803090208
SCENEDESMUS ECORNIS,,,0006174,0803090224
SCENEDESMUS GRANULATUS,,,0006178,0803090226
SCENEDESMUS HYSTRIX,,,0006180,0803090228
SCENEDESMUS INCRASSATULUS,,,0006181,0803090229
SCENEDESMUS INTERMEDIUS,,,0006184,0803090230
SCENEDESMUS INTERMEDIUS BICAUDATUS,,S,0006163,0803090217
SCENEDESMUS IRREGULARIS,,,BAY0246,08030902IRR
SCENEDESMUS LONGUS,,,0006188,0803090232
SCENEDESMUS LONGUS NAEGELII,,,0006190,080309023202
SCENEDESMUS OBLIQUUS,,S,0006160,080309021503
SCENEDESMUS OPALIENSIS,,S,0006195,0803090233
SCENEDESMUS OPOLIENSIS,,SA,0006194,0803090233
SCENEDESMUS PARISIENSIS,,,0006207,0803090243
SCENEDESMUS PERFORATUS,,,0006198,0803090234
SCENEDESMUS PROTUBERANS,,,0006144,0803090209
SCENEDESMUS QUADRICAUDA,,,0006110,0803090203
SCENEDESMUS QUADRICAUDA MAXIMUS,,,0006115,080309020304
SCENEDESMUS SPINOSUS,,,0006214,0803090250
SCHIZOCHLAMYS COMPACTA,,,0009200,0812020202
SCHROEDERIA,,,0005656,08030103
SCHROEDERIA SETIGERA,,SA,0005657,0803010301
SELANASTRUM BIBRAIANUM GRACILE,,S,0005916,0803051101
SELANASTRUM GRACILE,,SA,0005915,0803051101
SELANASTRUM MINUTUM,,,0005917,0803051102
SELANASTRUM WESTII,,,0005918,0803051103
SELENASTRUM,,,0006249,08030907
SELENASTRUM GRACILE,,,0006255,080309070302
SELENASTRUM MINUTUM,,,0006256,0803090704
SELENASTRUM WESTII,,,0006258,0803090707
SORASTRUM,,,0006088,08030805
SPHAEROCYSTIS,,,0009169,08120104
SPHAEROCYSTIS PLANKTONICA,,,BAY0253,08120104PLAN
SPHAEROCYSTIS SCHROETERI,,SA,0009170,0812010401
SPIROGYRA,,,0006996,08100101
SPIROGYRA CRASSA,,,0007010,0810010113
SPIROGYRA TENUISSIMA,,,0007023,0810010125
SPONDYLOSIUM PLANUM,,,0008472,0810020702
SPONDYLOSIUM PYGMAEUM,,,0008474,0810020704
STAURASTRUM,,,0007440,08100202
STAURASTRUM AMERICANUM,,,0007597,0810020263
STAURASTRUM CHAETOCEROS,,,0007442,0810020202
STAURASTRUM CINGULUM FLORIDENSE,,,BAY0365,08100202CILG
STAURASTRUM CURVATUM,,,0007769,0810022362
STAURASTRUM GRANDE,,,0007796,0810022373
STAURASTRUM LEPTOCLADUM,,,0007507,0810020234
STAURASTRUM LEPTOCLADUM CORNUTUM,,,0007510,081002023403
STAURASTRUM LEPTOCLADUM INSIGNE,,,0007509,081002023402
STAURASTRUM MANFELDTII,,,0007519,0810020236
STAURASTRUM MANFELDTII FLUMINENSE,,,0007522,081002023603
STAURASTRUM NATATOR CRASSUM,,,0007670,081002230303
STAURASTRUM PARADOXUM,,,0007549,0810020246
STAURASTRUM PARADOXUM CINGULUM,,,BAY0254,0810020246CI
STAURASTRUM PENTACERUM,,,0007557,0810020247
STAURASTRUM POLYMORPHUM,,,0007677,0810022308
STAURASTRUM QUADRICUSPINATUM,,,0007568,0810020250
,29,,,
