Name: “Table 1 of 1 on page 49 of 142”,Name: “Table 1 of 1 on page 49 of 142”,Name: “Table 1 of 1 on page 49 of 142”,Name: “Table 1 of 1 on page 49 of 142”
Table: 49,Table: 49,Table: 49,Table: 49
,,,
A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
OXYTOXUM MILNERI,,0010468,1204160205
OXYTOXUM MITRA,,0573465,12041602MITR
OXYTOXUM OBLIQUUM,,0573466,12041602OBLI
OXYTOXUM PARVUM,,0010469,1204160206
OXYTOXUM RETICULATUM,,0010470,1204160207
OXYTOXUM SCEPTRUM,,0010471,1204160208
OXYTOXUM SCOLOPAX,,0010472,1204160209
OXYTOXUM SPHAEROIDEUM,,0010476,1204160213
OXYTOXUM TESSELATUM,,0010473,1204160210
OXYTOXUM TURBO,,0010474,1204160211
OXYTOXUM VARIABILE,,0010465,1204160202
PAVILLARDINIUM,SA,0010478,12041603
PAVILLARDINIUM SPINOSA,,0610152,12041603SPIN
PERIDINIALES,,0009995,1204
PERIDINIOPSIS ASYMMETRICA,,0183927,1204090201
PERIDINIUM,,0010212,12041003
PERIDINIUM ACHROMATICUM,SA,0010241,1204100318
PERIDINIUM ACICULIFERUM,,0010302,1204100351
PERIDINIUM AVELLANA,SA,0010303,1204100352
PERIDINIUM BREVE,SA,0010254,1204100325
PERIDINIUM BREVIPES,SA,0010214,1204100302
PERIDINIUM BROCHII,S,0010345,1204100503
PERIDINIUM CATENATUM,,0010216,1204100303
PERIDINIUM CERASUS,SA,0010217,1204100304
PERIDINIUM CINCTUM,,0010329,1204100371
PERIDINIUM CLAUDICANS,SA,0010245,1204100320
PERIDINIUM CONICOIDES,SA,0010247,1204100321
PERIDINIUM CONICUM,SA,0010219,1204100305
PERIDINIUM CRASSIPES,SA,0010305,1204100353
PERIDINIUM DEPRESSUM,SA,0010223,1204100307
PERIDINIUM DIABOLUM,SA,0010307,1204100354
PERIDINIUM DIGITALE,,BAY0205,12041003DIGI
PERIDINIUM DIVERGENS,,0010300,1204100349
PERIDINIUM EXCAVATUM,,0010253,1204100324
PERIDINIUM EXCENTRICUM,SA,0010225,1204100308
PERIDINIUM GATUNENSE,,0010330,1204100372
PERIDINIUM GLOBULUS,SA,0010292,1204100345
PERIDINIUM GLOBULUS QUARNERENSE,S,0010343,1204100502
PERIDINIUM GRANII,SA,0010227,1204100309
PERIDINIUM HIROBIS,SA,0010294,1204100346
PERIDINIUM INCONSPICUUM,,0010331,1204100373
PERIDINIUM LEONIS,SA,0010281,1204100340
PERIDINIUM LOMNICKII SPLENDIDA,,BAY0359,12041003LOMN
PERIDINIUM MINUTUM,SA,0010309,1204100356
PERIDINIUM MITE,SA,0010311,1204100357
PERIDINIUM NIPPONICUM,SA,0010313,1204100358
PERIDINIUM OBLONGUM,SA,0010276,1204100337
PERIDINIUM OCEANICUM,SA,0010272,1204100335
39,,,
