Name: “Table 1 of 1 on page 102 of 142”,Name: “Table 1 of 1 on page 102 of 142”,Name: “Table 1 of 1 on page 102 of 142”,Name: “Table 1 of 1 on page 102 of 142”,Name: “Table 1 of 1 on page 102 of 142”
Table: 102,Table: 102,Table: 102,Table: 102,Table: 102
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ABLABESMYIA JANTA,,,0128093,6489420108
ABLABESMYIA MALLOCHI,,SA,0128097,6489420110
ABLABESMYIA MONILIS,,,0128107,6489420111
ABLABESMYIA ORNATA,,S,0128105,6489420110
ABLABESMYIA PARAJANTA,,,0128112,6489420112
ABLABESMYIA PELEENSIS,,,0128113,6489420113
ABLABESMYIA RHAMPHE,,,0128121,6489420117
ABLABESMYIA TARELLA,,S,0128106,6489420110
ACARICORIS,,,0107595,62810104
ACRICOTOPUS,,,0128463,64895603
ACRONEURIA,,,0102917,62540101
ACRONEURIA ABNORMIS,,,0102919,6254010103
ACRONEURIA CAROLINENSIS,,,0102922,6254010106
ACRONEURIA INTERNATA,,,0102925,6254010109
ACRONEURIA LYCORIAS,,,0102918,6254010101
ACRONEURIA PERPLEXA,,,0102927,6254010111
ACRONEURIA RURALIS,,S,0102956,6254010801
ACRONEURIA XANTHENES,,S,0102941,6254010401
ADACTYLOCLADIUS,,S,0128690,64895623
AEDES SAPPHIRINA,,S,0126581,6489111003
AESCHNA,,SA,0101602,62250202
AESHINIDAE,,,BAY0002,622502AESH
AESHNA,,S,0101603,62250202
AGABUS,,,0111966,63050602
AGAPETUS,,,0117121,64181901
AGNETINA,,SA,0102975,62540115
AGNETINA CAPITATA,,SA,0102979,6254011501
AGRIIDAE,BROAD-WINGED DAMSELFLIES,S,0181180,622902
AGRION,,,0102045,62290201
AGRIONIDAE,BROAD-WINGED DAMSELFLIES,S,0102044,622902
ALEPOMYIA,,S,0116795,64181401
ALEPOMYIODES,,S,0116796,64181401
ALLOCAPNIA,,SA,0102644,62520501
ALLOCAPNIA RECTA,,,0102652,6252050107
ALLONARCYS,,S,0102472,62520101
ALLONARCYS BILOBA,,S,0102475,6252010102
ALLOPERLA,,,0103203,62540401
AMELETUS,,,0100996,62160308
AMPHINEMURA,,,0102540,62520409
AMPHINEMURA DELOSA,,,0102541,6252040901
AMPHINEMURA NIGRITTA,,,0102542,6252040902
ANCHYTARSUS,,,0114667,63250301
ANCYRONYX,,,0114193,63160409
ANCYRONYX VARIEGATUS,,,0114194,6316040901
ANISOLABIS MARITIMA,MARITIME EARWIG; SEASIDE EARWIG,,0186048,6248050204
ANISOPTERA,DRAGONFLIES,,0101594,6224
ANOMALAGRION,,,0102091,62290402
ANOPHELES,,,0125956,64890801
ANTHOMYIIDAE,ANTHOMYIID FLIES,SA,0148685,649706
ANTOCHA,,,0119656,64830501
APSECTROTANYPUS,,,0128021,64894001
ARCADOPSYCHE,,S,0116797,64181401
ARGIA,,,0102139,62290409
ARGIA FUMIPENNIS VIOLACEA,,,0102145,622904090402
ARIGOMPHUS,,,0101770,62250414
ATHERIX,,,0130929,64930301
ATHERIX VARIEGATA,,,0130932,6493030103
ATHRIPSODES,,S,0116685,64181207
ATOMYIA,,S,0116798,64181401
,92,,,
