Name: “Table 1 of 1 on page 31 of 142”,Name: “Table 1 of 1 on page 31 of 142”,Name: “Table 1 of 1 on page 31 of 142”,Name: “Table 1 of 1 on page 31 of 142”,Name: “Table 1 of 1 on page 31 of 142”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
RHIZOSOLENIA FRAGILISSIMA,,S,0002892,0702100108
RHIZOSOLENIA HEBETATA,,,0002893,0702100109
RHIZOSOLENIA HEBETATA HIEMALIS,,,0002894,070210010901
RHIZOSOLENIA HEBETATA SEMISPINA,,,0002895,070210010902
RHIZOSOLENIA IMBRICATA,,,0002897,0702100110
RHIZOSOLENIA IMBRICATA SHRUBSOLEI,,,0002898,070210011001
RHIZOSOLENIA MINIMA,,,0002918,0702100124
RHIZOSOLENIA RHOMBUS,,,BAY0241,07021001RHOM
RHIZOSOLENIA ROBUSTA,,,0002901,0702100112
RHIZOSOLENIA SETIGERA,,,0002902,0702100113
RHIZOSOLENIA SHRUBSOLEII,,,0002910,0702100118
RHIZOSOLENIA STOLTERFOTHII,,,0002903,0702100114
RHIZOSOLENIA STYLIFORMIS,,,0002904,0702100115
RHIZOSOLENIA STYLIFORMIS LATISSIMA,,S,0002907,070210011503
RHIZOSOLENIA STYLIFORMIS LONGISPINA,,,0002905,070210011501
RHIZOSOLENIA TEMPEREI,,,BAY0242,070210011TEM
RHOICONEIS,,S,0003650,07030501
RHOICOSPHENIA,,,0003633,07030404
RHOICOSPHENIA ABBREVIATA,,,BAY0243,07030404ABB
RHOICOSPHENIA CURVATA,,SA,0003634,0703040401
RHOICOSPHENIA MARINA INTERMEDIA,,S,0003635,0703040401
RHOPALODIA,,,0005024,07030902
RHOPALODIA GIBBA,,,0005041,0703090215
RHOPALODIA GIBBERULA,,,0005025,0703090201
RHOPALODIA GIBBERULA MUSCULUS,,,0005027,070309020102
RHOPALODIA OPERCULATA,,,BAY0244,07030704RHO
SCHROEDERELLA DELICATULA,,S,0002392,0702011101
SCOLIOTROPIS LATESTRIATA,,,0004545,0703051102
SKELETONEMA,,,0002401,07020201
SKELETONEMA COSTATUM,,,0002402,0702020101
SKELETONEMA POTAMOS,,,0002414,0702020113
STAURONEIS,,,0004127,07030503
STAURONEIS AMPHIOXYS,,,0004136,0703050309
STAURONEIS ANCEPS HYALINA,,,0004149,070305031902
STAURONEIS OBLIQUE,,,BAY0255,07030503OBLI
STAURONEIS PHOENICENTERON GRACILIS,,,0004255,070305252103
STAURONEIS SALINA,,,0004272,0703052534
STEPHANODISCUS,,,0002415,07020202
STEPHANODISCUS ASTRAEA,,,0002416,0702020201
STEPHANODISCUS HANTZSCHII,,,0002426,0702020206
STEPHANODISCUS SUBSALSUS,,,0002436,0702020211
STEPHANOPYXIS,,,0002371,07020106
STEPHANOPYXIS NIPPONICA,,,0002372,0702010601
STEPHANOPYXIS PALMERIANA,,,0002373,0702010602
STEPHANOPYXIS TURRIS,,,0002374,0702010603
STREPTOTHECA THAMENSIS,,S,0002729,0702071001
STRIATELLA,,,0003178,07030113
STRIATELLA DELICATULA,,,0003179,0703011301
STRIATELLA INTERRUPTA,,,0003181,0703011303
STRIATELLA UNIPUNCTATA,,,0003180,0703011302
SURIRELLA,,,0005331,07031101
SURIRELLA ANCEPS,,,0005339,0703110104
SURIRELLA ANGUSTATA,,,0005399,0703110139
SURIRELLA BRIGHTWELLI,,S,0005350,070311011301
SURIRELLA CRUCIATA,,S,BAY0381,070311011503
SURIRELLA CRUMERA,,S,BAY0258,070311011503
SURIRELLA ELEGANS,,,0005340,0703110105
SURIRELLA FASTUOSA,,,0005332,0703110101
SURIRELLA GEMMA,,,0005342,0703110107
,21,,,
