Name: “Table 1 of 1 on page 17 of 142”,Name: “Table 1 of 1 on page 17 of 142”,Name: “Table 1 of 1 on page 17 of 142”,Name: “Table 1 of 1 on page 17 of 142”,Name: “Table 1 of 1 on page 17 of 142”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
AMPHORA BINODIS,,,BAY0014,07030701BINO
AMPHORA COFFAEIFORMIS,,,0004713,0703070105
AMPHORA COSTATA,,,0004731,0703070115
AMPHORA CRASSA,,,0004745,0703070122
AMPHORA CUNEATA,,,0004732,0703070116
AMPHORA CYMBELLOIDES,,,0004782,0703070155
AMPHORA DELICATISSIMA,,,0004783,0703070156
AMPHORA EGREGIA INTERRUPTA,,,BAY0015,07030701EGRE
AMPHORA EXIGUA,,,0004746,0703070123
AMPHORA GIGANTEA,,,BAY0016,07030701GIGA
AMPHORA GREVILLEANA CONTRACTA,,,BAY0017,07030701GREV
AMPHORA LAEVIS,,,0004733,0703070117
AMPHORA LAEVIS PERMINUTA,,SA,0004735,070307011702
AMPHORA LAEVISSIMA PERMINUTA,,S,0004736,070307011702
AMPHORA MARINA,,,BAY0018,07030701MARI
AMPHORA OBTUSA,,,0004718,0703070108
AMPHORA OSTREARIA,,,0004720,0703070110
AMPHORA OVALIS,,SA,0004721,0703070111
AMPHORA OVALIS AFFINIS,,,0004723,070307011102
AMPHORA OVALIS PEDICULUS,,,0004727,070307011106
AMPHORA PERAGALLI,,,BAY0019,07030701PERA
AMPHORA PERPUSILLA,,,0004766,0703070143
AMPHORA PROTEOIDES,,,0004737,0703070118
AMPHORA PROTEUS,,,0004728,0703070112
AMPHORA ROBUSTA,,,0004729,0703070113
AMPHORA SPECTABILIS,,,0202439,0703070161
AMPHORA SUBLAEVIS,,,0004730,0703070114
AMPHORA SUBTILISSIMA,,,BAY0020,07030701SUBT
AMPHORA SZABOI,,,BAY0021,07030701SZAB
AMPHORA TENUISSIMA,,,0004784,0703070157
AMPHORA TERRORIS,,,BAY0022,07030701TERR
AMPHORA TUMIDA,,,0004738,0703070119
AMPHORA TURGIDA,,,0004785,0703070158
ANAULUS BALTICUS,,,0002719,0702070602
ASTERIONELLA,,,0003116,07030104
ASTERIONELLA BLEAKELEYI,,S,0003124,0703010404
ASTERIONELLA FORMOSA,,,0003120,0703010403
ASTERIONELLA GLACIALIS,,S,0003118,0703010401
ASTERIONELLA GRACILLIMA,,SA,0003125,0703010405
ASTERIONELLA JAPONICA,,SA,0003117,0703010401
ASTERIONELLA KARIANA,,,0003119,0703010402
ASTERIONELLA NOTATA,,,0003127,0703010407
ASTERIONELLOPSIS GLACIALIS,,,0615890,070301ASGL
ASTERIONELLOPSIS KARIANA,,,0615891,070301ASKA
ASTEROLAMPRA MARYLANDICA,,,0002642,0702050201
ASTEROLAMPRA VANHEURCKII,,,BAY0026,07020502VANH
ASTEROMPHALUS,,,0002633,07020501
ASTEROMPHALUS FLABELLATUS,,,0002636,0702050103
ASTEROMPHALUS HEPTACTIS,,,0002634,0702050101
ASTEROMPHALUS ROPERIANUS,,,0573616,07020501ROPE
ATTHEYA DECORA,,,BAY0028,07020903DE
ATTHEYA ZACHARIASI,,,0002877,0702090301
AULACODISCUS,,,0002626,07020403
AULACOSEIRA,,S,0590863,07020101
AULACOSEIRA DISTANS,,S,0591208,0702010119
AULACOSEIRA GRANULATA,,S,0591207,0702010107
AULACOSEIRA GRANULATA CURVATA,,,BAY0299,070201010703
AULACOSEIRA GRANULATA ANGUSTISSIMA,,S,0591623,070201010702
AULACOSEIRA GRANULATA SPIRALIS,,S,0591691,0702010109
,7,,,
