Name: “Table 1 of 1 on page 107 of 142”,Name: “Table 1 of 1 on page 107 of 142”,Name: “Table 1 of 1 on page 107 of 142”,Name: “Table 1 of 1 on page 107 of 142”,Name: “Table 1 of 1 on page 107 of 142”
Table: 107,Table: 107,Table: 107,Table: 107,Table: 107
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
DYTISCUS,,SA,0112118,63050616
ECCOPTURA,,,0102939,62540104
ECCOPTURA XANTHENES,,SA,0102940,6254010401
ECTOPRIA,,,0114087,63160304
ECTOPRIA NERVOSA,,,0114088,6316030401
EINFELDIA,,,0129459,64896014
ELMIDAE,RIFFLE BEETLES,SA,0114093,631604
ELMIS CRENATA,,S,0114103,6316040105
ELMIS LITHOPHILA,,S,0114010,6316010201
ELMIS VITTATUS,,S,0114132,6316040205
EMPEDOMORPHA,,S,0120505,64830706
EMPIDIDAE,DANCE FLIES,,0135830,649471
ENALLAGMA,,,0102102,62290406
ENALLAGMA CIVILE,,,0102122,6229040618
ENDALUS,,,0114776,63250315
ENDOCHIRONOMUS,,,0129470,64896015
ENDOCHIRONOMUS NIGRICANS,,SA,0129471,6489601501
ENDOCHIRONOMUS SUBTENDENS,,SA,0129474,6489601503
ENDOTRIBELOS,,,0130046,64896303
ENOCHRUS,,SA,0112973,63090315
ENOPLURUS,,S,0112813,63090301
EPEORUS,,SA,0100626,62160111
EPEORUS MODESTUS,,S,0100534,6216010616
EPHEMERA,,,0101526,62200302
EPHEMERA GUTTULATA,,,0101529,6220030203
EPHEMERELLA,,SA,0101233,62170201
EPHEMERELLA ATRESCENS,,S,0101398,6217020801
EPHEMERELLA ATTENUATA,,S,0101342,6217020401
EPHEMERELLA BISPINA,,S,0101313,6217020189
EPHEMERELLA CHEROKEE,,S,0101307,6217020185
EPHEMERELLA CORNUTA,,SA,0101266,6217020142
EPHEMERELLA CORNUTELLA,,S,0101367,6217020701
EPHEMERELLA DEFICIENS,,S,0101397,6217020801
EPHEMERELLA DEPRESSA,,S,0101267,6217020142
EPHEMERELLA DOROTHEA,,,0101272,6217020149
EPHEMERELLA FEMININA,,S,0101297,6217020174
EPHEMERELLA FUNERALIS,,S,0101333,6217020304
EPHEMERELLA FUSCATA,,S,0101314,6217020189
EPHEMERELLA HIRSUTA,,S,0101341,6217020401
EPHEMERELLA INCONSTANS,,,0101281,6217020158
EPHEMERELLA INFLATA,,S,0101287,6217020162
EPHEMERELLA LATA,,SA,0101286,6217020162
EPHEMERELLA ROTUNDA,,SA,0101296,6217020174
EPHEMERELLA SEPTENTRIONALIS,,,0101299,6217020175
EPHEMERELLA SERRATA,,,0101235,6217020101
EPHEMERELLA SERRATOIDES,,,0101236,6217020102
EPHEMERELLA SIMPLEX,,S,0101364,6217020602
EPHEMERELLA SUBVARIA,,,0101241,6217020114
EPHEMERELLA TEMPORALIS,,S,0101327,6217020302
EPHEMERELLA TUBERCULATA,,SA,0101306,6217020185
EPHEMERELLA VERISIMILIS,,,0101310,6217020188
EPHEMERELLA VERNALIS,,S,0101298,6217020174
EPHEMERELLA VERRUCA,,,0101309,6217020187
EPHEMERELLA WALKERI,,SA,0101312,6217020189
EPHEMERELLIDAE,,,0101232,621702
EPHEMERIDAE,,,0101525,622003
EPHEMEROPTERA,MAYFLIES,,0100502,6215
EPHORON,,,0101570,62200401
EPHORON LEUKON,,,0101572,6220040102
,97,,,
