Name: “Table 1 of 1 on page 32 of 142”,Name: “Table 1 of 1 on page 32 of 142”,Name: “Table 1 of 1 on page 32 of 142”,Name: “Table 1 of 1 on page 32 of 142”,Name: “Table 1 of 1 on page 32 of 142”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
SURIRELLA LITORALIS,,,0005347,0703110112
SURIRELLA OVALIS,,,0005348,0703110113
SURIRELLA OVALIS BRIGHTWELLI,,SA,0005349,070311011301
SURIRELLA OVALIS SALINA,,SA,0005351,070311011302
SURIRELLA OVATA,,,0005361,0703110115
SURIRELLA OVATA CRUMERA,,SA,0202440,070311011503
SURIRELLA OVATA SALINA,,S,0005352,070311011302
SURIRELLA PANDURA CONTRACTA,,,BAY0259,0703110132CO
SURIRELLA PATELLA,,,0005374,0703110122
SURIRELLA PATELLA NEUPAUERI,,,0005376,070311012202
SURIRELLA RECEDENS,,,0005334,070311010101
SURIRELLA ROBUSTA,,,0005357,0703110114
SURIRELLA ROBUSTA SALINA,,,BAY0260,070311011402
SURIRELLA SALINA,,,BAY0261,07031101SAL
SURIRELLA SPENDIDA,,,0005338,0703110103
SURIRELLA SPIRALIS,,,0005398,0703110138
SURIRELLA STRIATULA,,,0005364,0703110116
SURIRELLA SUECICA,,,0005400,0703110140
SYNEDRA,,,0003013,07030103
SYNEDRA ACTINASTROIDES,,S,0005215,0703100186
SYNEDRA ACUS,,,0003056,0703010314
SYNEDRA AFFINIS,,S,0003049,0703010312
SYNEDRA AFFINIS GRACILIS,,,0003052,070301031203
SYNEDRA AFFINIS OBTUSA,,,0003053,070301031204
SYNEDRA AFFINIS PARVA,,,0003054,070301031205
SYNEDRA BICEPS,,,BAY0264,07030103BIC
SYNEDRA CLOSTERIOIDES,,,BAY0265,07030103CLOS
SYNEDRA CRYSTALLINA,,,0003022,0703010307
SYNEDRA FASCICULATA,,S,0003018,0703010312
SYNEDRA FASCICULATA TRUNCATA,,S,0003020,0703010312
SYNEDRA FRUSTULUM,,S,0005151,0703100152
SYNEDRA FULGENS,,,0003015,0703010302
SYNEDRA GAILLONII,,,0003110,0703010342
SYNEDRA LONGISSIMA,,,0590930,07030103LONG
SYNEDRA NITZSCHIOIDES,,S,0003140,0703010601
SYNEDRA PROVINCIALIS,,,0003044,0703010309
SYNEDRA PULCHELLA,,,0003055,0703010313
SYNEDRA ROBUSTA,,,0202434,0703010350
SYNEDRA SUPERBA,,,0573678,07030103SUB
SYNEDRA TABULATA,,S,0003045,0703010312
SYNEDRA TABULATA FASCICULATA,,S,0003046,0703010312
SYNEDRA TOXONEIDES,,,0003108,0703010340
SYNEDRA ULNA,,SA,0003023,0703010308
SYNEDRA ULNA GENUINA,,S,0003028,0703010308
SYNEDRA ULNA LONGISSIMA,,,0003036,070301030807
SYNEDRA ULNA RADIANS,,S,0003025,0703010308
SYNEDRA ULNA SPLENDENS,,S,0003026,0703010308
SYNEDRA ULNA SUBAEQUALIS,,S,0003027,0703010308
SYNEDRA ULNA VITREA,,S,0003024,0703010308
SYNEDRA UNDULATA,,S,0003021,0703010306
SYNEDRA VAUCHERIAE,,S,0002943,0703010104
SYNEDROSPHENIA GOMPHONEMA,,,BAY0267,070301GOMPH
TABELLARIA,,SA,0003241,07030123
TABELLARIA FENESTRATA,,SA,0003242,0703012301
TABELLARIA FENESTRATA ASTERIONELLOIDES,,,0003244,070301230101
TABELLARIA FENESTRATA INTERMEDIA,,S,0003243,0703012301
TABELLARIA FLOCCULOSA,,SA,0003247,0703012302
TABULARIA FASCICULATE,,SA,0590882,0703010312
TERPSINOE,,,0002737,07020713
,22,,,
