Name: “Table 1 of 1 on page 118 of 142”,Name: “Table 1 of 1 on page 118 of 142”,Name: “Table 1 of 1 on page 118 of 142”,Name: “Table 1 of 1 on page 118 of 142”,Name: “Table 1 of 1 on page 118 of 142”
Table: 118,Table: 118,Table: 118,Table: 118,Table: 118
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
STENONEMA PUDICUM,,,0100536,6216010618
STENONEMA RIVULICOLUS,,S,0100549,6216010625
STENONEMA TERMINATUM,,,0100542,6216010623
STENONEMA TESSELATA,,S,0100550,6216010625
STENONEMA VICARIUM,,SA,0100548,6216010625
STENOPELMUS,,,0114679,63250307
STENOPELMUS RUFINASUS,,,0114680,6325030701
STICTOCHIRONOMUS,,,0129785,64896042
STICTOCHIRONOMUS CAFFARIUS,,,BAY0323,64896042CAFF
STICTOCHIRONOMUS DEVINCTUS,,,0129790,6489604203
STILOBEZZIA,,,0127619,64892613
STOMOXYS CALCITRANS,STABLE FLY,,0150287,6497200301
STRATIOMYS,,,0130627,64921406
STROPHOPTERYX FASCIATA,,,0102809,6252060401
STYLOGOMPHUS,,,0101761,62250411
STYLOGOMPHUS ALBISTYLUS,,SA,0101762,6225041101
STYLURUS,,S,0206626,62250417
STYLURUS NOTATUS,,,0593022,62250402NOT
SUBLETTEA COFFMANI,,SA,0129976,6489621201
SYMPHITOPSYCHE BRONTA,,S,0115579,6418041203
SYMPHITOPSYCHE MOROSA,,S,0115582,6418041204
SYMPHITOPSYCHE SLOSSONAE,,S,0115588,6418041205
SYMPHITOPSYCHE SPARNA,,S,0115590,6418041206
SYMPOSIOCLADIUS,,S,0128877,64895642
SYMPOSIOCLADIUS LIGNICOLA,,S,0128915,6489564225
SYMPOTTHASTIA,,,0128426,64895107
SYNORTHOCLADIUS,,,0129161,64895667
SYRPHIDAE,SYRPHID FLIES,,0139621,649515
TABANIDAE,HORSE FLIES,,0130934,649304
TABANUS,,,0131527,64931507
TAENIOPTERYX,,,0102789,62520601
TAENIOPTERYX NIVALIS,,,0102798,6252060109
TANYPODINAE,,,0127994,648938
TANYPUS,,,0128324,64894601
TANYPUS BELLUS,,S,0128288,6489450205
TANYPUS CONCINNUS,,S,0128014,6489390202
TANYPUS CRASSINERVIS,,S,0128297,6489450208
TANYPUS CULICIFORMIS,,S,0128298,6489450208
TANYPUS FLAVICINCTUS,,S,0128000,6489390102
TANYPUS ILLINOENSIS,,S,0128101,6489420110
TANYPUS MALLOCHI,,S,0128102,6489420110
TANYPUS NEOPUNCTIPENNIS,,,0128329,64894601NEO
TANYPUS OCCIDENTALIS,,S,0128456,6489550402
TANYPUS PINGUIS,,S,0128001,6489390102
TANYPUS PUSILLUS,,S,0128289,6489450205
TANYPUS STELLATUS,,,0128336,6489460108
TANYPUS THORACICUS,,S,0128002,6489390102
TANYSPHYRUS LEMNAE,DUCKWEED WEEVIL,,0114897,6325050801
TANYTARSINI,,,0129872,648962
TANYTARSUS,,SA,0129978,64896213
TANYTARSUS COFFMANI,,S,0129977,6489621201
TANYTARSUS FUSCIVENTRIS,,S,0129828,6489604304
TANYTARSUS GLABRESCENS,,SA,0130030,6489621342
TANYTARSUS GUERLUS,,SA,0129997,6489621316
TANYTARSUS JUCUNDUS,,S,0129829,6489604304
TANYTARSUS SUBTENDENS,,S,0129475,6489601503
TELMATOSCOPUS,,,0125399,64870502
TENDIPES,,S,0129256,64896006
TENDIPES DEMEIJEREI,,S,0129734,6489603702
,108,,,
