Name: “Table 1 of 1 on page 84 of 142”,Name: “Table 1 of 1 on page 84 of 142”,Name: “Table 1 of 1 on page 84 of 142”,Name: “Table 1 of 1 on page 84 of 142”,Name: “Table 1 of 1 on page 84 of 142”
Table: 84,Table: 84,Table: 84,Table: 84,Table: 84
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CYDIPPINA,,S,0081034,55153101
CYPRINA ISLANDICA,OCEAN QUAHOG,S,0081344,5515390101
CYRENOIDA FLORIDANA,FLORIDA MARSH CLAM,,0080605,5515060101
CYRTOPLEURA COSTATA,ANGELWING,,0081796,5518010301
DONAX,,,0081245,55153201
DONAX FOSSOR,,,0081249,5515320103
DONAX VARIABILIS,,,0081248,5515320103
DOSINIA DISCUS,DISK DOSINIA,,0081489,5515470901
DOSINIA ELEGANS,ELEGANT DOSINIA,,0081490,5515470902
DREISSENA POLYMORPHA,ZEBRA MUSSEL,,0081339,5515370301
ELLIPTIO COMPLANATA,EASTERN ELLIPTIO,,0079952,5512020301
ELLIPTIO LANCEOLATA,YELLOW LANCE,,0079964,5512020313
ENSIS DIRECTUS,ATLANTIC JACKKNIFE CLAM,,0081022,5515290301
EUCRASSATELLA GIBBESI,BEAUTIFUL CRASSINELLA,S,0080857,5515200201
EUCRASSATELLA SPECIOSA,BEAUTIFUL CRASSINELLA,SA,0080856,5515200201
GASTRONELLA TUMIDA,FALSE ANGELWING,S,0081629,5515480102
GEMMA GEMMA,AMETHYST GEMCLAM,,0081511,5515471301
GEUKENSIA DEMISSA,RIBBED MUSSEL,,0079555,5507011501
ISCHADIUM RECURVUM,HOOKED MUSSEL,SA,0079561,5507011601
LAEVICARDIUM MORTONI,MORTON EGGCOCKLE,,0080891,5515220401
LAMPSILIS,FRESHWATER MUSSELS,,0079986,55120204
LAMPSILIS CARDIUM,POCKET BOOK MUSSEL,,0080016,5512020424
LUCINA MULTILINEATA,MANY-LINED LUCINE,S,0080389,5515010102
LUNARCA,,S,0079339,55060102
LUNARCA OVALIS,BLOOD ARK,S,0079343,5506010202
LYONSIA,,,0081916,55200502
LYONSIA HYALINA,GLASSY LYONSIA,,0081926,5520050206
MACOMA,,SA,0081033,55153101
MACOMA BALTICA,BALTIC MACOMA,,0081052,5515310116
MACOMA MITCHELLI,MITCHELL MACOMA,,0081054,5515310119
MACOMA PHENAX,CHEATING MACOMA,,0081063,5515310128
MACOMA TENTA,ELONGATE MACOMA,,0081055,5515310120
MACTRIDAE,,,0080942,551525
MERCENARIA MERCENARIA,NORTHERN QUAHOG,SA,0081496,5515471101
MODIOLUS,,,0079500,55070106
MODIOLUS AMERICANUS,AMERICAN HORSEMUSSEL,,0079506,5507010604
MODIOLUS DEMISSUS,RIBBED MUSSEL,,0079504,5507010602
MODIOLUS MODIOLUS,,,0079501,5507010601
MONTACUTIDAE,,,0080650,551510
MULINIA LATERALIS,DWARF SURFCLAM,,0080959,5515250301
MUSCULIUM,LONG-SIPHONED FINGERNAIL CLAMS,,0081427,55154603
MUSCULIUM PARTUMEIUM,SWAMP FINGERNAILCLAM,,0081432,5515460303
MUSCULIUM TRANSVERSUM,LONG FINGERNAILCLAM,,0081428,5515460301
MYA ARENARIA,SOFTSHELL CLAM,,0081692,5517010201
MYSELLA,,,0080651,55151001
MYSELLA PLANULATA,PLATE MYSELLA,SA,0080661,5515100110
MYTILIDAE (MOLLUSCA),MUSSELS,,0079451,550701
MYTILOPSIS,,SA,0081333,55153702
MYTILOPSIS LEUCOPHAEATA,DARK FALSEMUSSEL,,0081335,5515370201
MYTILUS EDULIS,EDIBLE BLUE MUSSEL,,0079454,5507010101
MYTILUS HAMATUS,HOOKED MUSSEL,S,0079562,5507011601
NOETIA PONDEROSA,PONDEROUS ARK,,0079366,5506010301
NUCULA,,,0079126,55020202
NUCULA ANNULATA,,,0079133,5502020205
NUCULA PROXIMA,ATLANTIC NUTCLAM,,0079132,5502020204
NUCULANA,,,0079188,55020402
NUCULANA MESSANENSIS,MESSANEAN NUTCLAM,,0079212,5502040220
OSTREA EDULIS,EDIBLE OYSTER,,0079885,5510020205
PANDORA,,,0081889,55200201
,74,,,
