Name: “Table 1 of 1 on page 12 of 142”,Name: “Table 1 of 1 on page 12 of 142”,Name: “Table 1 of 1 on page 12 of 142”,Name: “Table 1 of 1 on page 12 of 142”,Name: “Table 1 of 1 on page 12 of 142”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC
,,,,CODE
GLOEOCAPSA PUNCTATA,,,0000700,0302010718
GLOEOTHECE,,,0000703,03020108
GLOEOTHECE LINEARIS COMPOSITA,,,0000708,030201080202
GOMPHOSPHAERIA,,,0000714,03020109
GOMPHOSPHAERIA APONINA,,,0000715,0302010901
GOMPHOSPHAERIA LACUSTRIS,,,0000720,0302010902
JOHANNESBAPTISTIA PELLUCIDA,,,0000725,0302011001
LYNGBYA,,,0000870,03040103
LYNGBYA CONTORTA,,,0000882,0304010312
LYNGBYA HIERONYMUSII,,,0000890,0304010320
LYNGBYA LIMNETICA,,,0000894,0304010324
MASTIGOCOLEUS TESTARUM,,,0001378,0305010101
MERISMOPEDIA,,,0000727,03020111
MERISMOPEDIA CONVOLUTA,,,0000729,0302011102
MERISMOPEDIA ELEGANS,,,0000732,0302011103
MERISMOPEDIA ELEGANS MAJOR,,,0000743,0302011112
MERISMOPEDIA GLAUCA,,,0000728,0302011101
MERISMOPEDIA PUNCTATA,,,0000738,0302011108
MERISMOPEDIA TENUISSIMA,,,0000739,0302011109
MICRALOA AERUGINOSA,,S,0000752,0302011303
MICROCOLEUS,,,0000906,03040104
MICROCOLEUS LYNGBYACEUS,,,0000908,0304010402
MICROCOLEUS VAGINATUS,,,0000910,0304010404
MICROCROCIS GEMINATA,,,0180728,0302011203
MICROCYSTIS,,SA,0000747,03020113
MICROCYSTIS AERUGINOSA,,SA,0000750,0302011303
MICROCYSTIS FIRMA,,,BAY0395,03020113FIRM
MICROCYSTIS INCERTA,,S,0000771,030201131502
MICROCYSTIS PULVEREA,,,0000768,0302011315
MICROCYSTIS PULVEREA INCERTA,,SA,0000770,030201131502
NODULARIA,,,0001225,03040302
NODULARIA HARVEYANA,,,0001226,0304030201
NOSTOC,,,0001146,03040203
NOSTOC CARNEUM,,S,0001149,0304020301
NOSTOC COMMUNE,,SA,0001147,0304020301
NOSTOC LINCKIA,,S,0001148,0304020301
NOSTOC MUSCORUM,,,0001152,0304020318
NOSTOC PALUDOSUM,,S,0001153,0304020301
NOSTOC PISCINALE,,S,0001154,0304020301
NOSTOC PUNCTIFORME,,S,0001155,0304020301
NOSTOC SPONGIAEFORME,,S,0001150,0304020301
NOSTOCALES,,,0000861,0304
OSCILLATORIA,,SA,0000917,03040105
OSCILLATORIA ACUMINATA,,,0000990,0304010559
OSCILLATORIA ERYTHRAEA,,SA,0000934,0304010513
OSCILLATORIA LACUSTRIS,,SA,0000940,0304010516
OSCILLATORIA LIMNETICA,,,0000975,0304010544
OSCILLATORIA LIMOSA,,,0000976,0304010545
OSCILLATORIA LUTEA,,,0000925,0304010504
OSCILLATORIA PLANKTONICA,,,0000991,0304010560
OSCILLATORIA RETZII,,,0000929,0304010508
OSCILLATORIA RUBESCENS,,,0000986,0304010555
OSCILLATORIA SUBBREVIS,,,0000987,0304010556
OSCILLATORIA SUBMEMBRANACEAE,,,0000932,0304010511
OSCILLATORIA TENUIS,,,0000954,0304010528
PHORMIDIUM,,,0000992,03040106
PHORMIDIUM NUCICOLA,,,0001009,0304010617
PLANKTOTHRIX AGARDHII,,,0189421,0304011801
PLANKTOTHRIX LIMNETICA,,,BAY0396,03040118LIM
PLANKTOTHRIX LIMNETICA -ACICULARIS,,,,
,,,BAY0397,03040118LIMA
PLEUROCAPSA MINOR,,,BAY0363,03060102MIN
POLYCYSTIS,,S,0180729,03020113
POLYCYSTIS AERUGINOSA,,S,0000751,0302011303
PORPHYROSIPHON NOTARISSI,,,0001029,0304010701
PORPHYROSIPHON SPLENDIDUS,,,0001030,0304010702
PSEUDANABAENA,,,0001175,03040204
RAPHIDIOPSIS,,,0001290,03040406
,2,,,
